,Actual,Forecast
2022-06-01,296.8670000000001,289.19692084375293
2022-07-01,291.11,283.6038544914954
2022-08-01,282.7020000000001,279.6254344301634
2022-09-01,279.29399999999987,275.3976871117979
2022-10-01,281.6739999999999,274.596044475223
2022-11-01,279.02899999999994,271.95721011376526
2022-12-01,270.85699999999997,266.81566992083447
2023-01-01,273.12299999999993,266.481995870401
2023-02-01,275.1209999999999,266.84499871159653
2023-03-01,277.5840000000001,268.684849560034
2023-04-01,282.9070000000001,270.90524247181924
2023-05-01,284.18699999999995,270.4477373037407
2023-06-01,285.6830000000001,270.0889509314249
2023-07-01,286.3709999999999,269.8413025332178
2023-08-01,290.50099999999986,270.3567825128723
2023-09-01,289.4860000000001,271.00488339444456
2023-10-01,287.13199999999995,269.18828707684634
2023-11-01,284.1290000000001,266.2238547369346
2023-12-01,280.12799999999993,262.2713373496842
2024-01-01,279.2720000000001,261.69356215053807
2024-02-01,283.9200000000001,263.7172498024242
2024-03-01,289.98199999999997,268.2594593044304
2024-04-01,294.36800000000005,270.7658457610766
2024-05-01,294.29600000000005,271.5609404553553
2024-06-01,291.1559999999999,272.0209920384038
2024-07-01,290.96200000000005,271.32709029468566
2024-08-01,289.14899999999994,268.7040763213156
2024-09-01,287.67300000000006,265.53225194203736
2024-10-01,287.7050000000001,264.91716370434966
2024-11-01,286.47400000000005,263.1786748483544
2024-12-01,285.6540000000001,261.22877323097623
2025-01-01,288.23400000000004,262.2443566752863
2025-02-01,288.651,262.5638523530918
2025-03-01,287.6069999999999,265.10587867729225
2025-04-01,290.164,265.3865676623291
2025-05-01,290.74199999999996,266.7219216868508
2025-06-01,290.84799999999996,268.325930483997
2025-07-01,290.82600000000014,266.91547531098735
2025-08-01,291.36200000000014,265.093319220492
2025-09-01,291.91299999999995,263.7633913743697
2025-10-01,291.91299999999995,262.00365397510296
2025-11-01,290.48499999999996,260.8946227422568
2025-12-01,286.64800000000014,258.42244787200923
